uniprot ID
O00206
O14920
O94916
O95757
P00533
P01033
P01106
P01137
P01584
P04085
P04637
P05019
P05112
P05231
P05362
P05997
P08069
P08253
P09038
P10145
P11047
P14780
P15692
P16035
P17948
P20248
P22301
P22894
P28482
P29279
P30291
P31749
P32248
P35354
P35968
P37173
P42574
P43220
P43246
P60484
P84022
Q03135
Q14592
Q15389
Q15796
Q16236
Q16539
Q16665
Q7Z417
Q8N474
